City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,santa ana de yacuma,-13.75,-65.4333,22.97,88,75,7.2,BO,1691497134
160,tionk essil,12.7856,-16.5217,32.03,69,81,4.13,SN,1691497135
161,lodwar,3.1191,35.5973,33.96,27,32,3.82,KE,1691497135
162,karatau,43.1667,70.4667,27.6,35,63,9.67,KZ,1691497135
163,vernon,50.2581,-119.2691,18.75,68,88,1.03,CA,1691497135
164,kodinsk,58.6881,99.1844,21.91,58,4,0.9,RU,1691497136
165,chukhloma,58.7525,42.6825,26.92,37,0,3.68,RU,1691497137
166,rongelap,11.1635,166.8941,28.36,79,53,7.49,MH,1691497137
167,carnarvon,-24.8667,113.6333,20.22,82,21,7.74,AU,1691497137
168,hwange,-18.3693,26.5019,29.73,18,28,2.28,ZW,1691497137
169,hadibu,12.65,54.0333,28.52,63,69,10.13,YE,1691497137
170,rabigh,22.7986,39.0349,36.43,35,1,6.63,SA,1691497138
171,nova vicosa,-17.8919,-39.3719,24.34,73,9,3.2,BR,1691497138
172,mount gambier,-37.8333,140.7667,6.35,86,47,2.63,AU,1691497138
173,kolwezi,-10.7148,25.4667,27.14,21,0,2.41,CD,1691497138
174,vilyuchinsk,52.9306,158.4028,14.15,75,12,4.14,RU,1691497139
175,saint-pierre,-21.3393,55.4781,24.76,64,0,11.83,RE,1691497139
176,timbuktu,16.7735,-3.0074,38.2,27,17,4.98,ML,1691497139
177,iwanai,42.9744,140.5089,23.01,98,100,1.79,JP,1691497139
178,mahibadhoo,3.7833,72.9667,28.42,73,94,4.23,MV,1691497139
179,canutama,-6.5339,-64.3831,25.29,84,29,0.46,BR,1691497139
180,kulhudhuffushi,6.6221,73.07,28.33,76,89,6.02,MV,1691497139
181,sodra sandby,56.5667,16.6167,15.92,75,92,13.34,SE,1691497140
182,thompson,55.7435,-97.8558,10.09,93,100,4.12,CA,1691497140
183,chonchi,-42.6128,-73.8092,10.07,97,100,1.75,CL,1691497140
184,standerton,-26.9337,29.2415,22.56,14,0,1.29,ZA,1691497140
185,bullsbrook,-31.6667,116.0,15.86,82,100,1.54,AU,1691497140
186,biga,40.2281,27.2422,28.92,37,25,9.34,TR,1691497141
187,camalu,30.85,-116.0667,22.28,66,4,1.32,MX,1691497141
188,saldanha,-33.0117,17.9442,19.03,75,23,9.91,ZA,1691497141
189,waingapu,-9.6567,120.2641,23.28,78,16,5.13,ID,1691497141
190,copiapo,-27.3667,-70.3333,16.08,62,24,1.06,CL,1691496911
191,fort mcmurray,56.7268,-111.381,6.77,100,0,2.06,CA,1691496905
192,vila franca do campo,37.7167,-25.4333,24.23,60,14,1.14,PT,1691497142
193,chunskiy,56.0815,99.6342,20.81,77,54,1.51,RU,1691497142
194,taroa,8.7058,171.2275,28.16,74,100,5.57,MH,1691497142
195,knoxville,35.9606,-83.9207,22.14,88,75,3.09,US,1691496853
196,roanoke rapids,36.4615,-77.6542,23.49,100,100,4.63,US,1691497142
197,nouadhibou,20.931,-17.0347,24.99,69,20,7.2,MR,1691497142
198,cockburn town,21.4612,-71.1419,28.6,86,17,7.42,TC,1691497143
199,tura,25.5198,90.2201,24.06,98,100,3.18,IN,1691497143
200,qamdo,31.1667,97.2333,14.2,57,64,2.12,CN,1691497143
201,jamestown,42.097,-79.2353,17.77,91,100,7.2,US,1691496981
202,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,82,0,1.0,RU,1691497144
203,mahanje,-9.9333,35.3333,24.01,40,64,1.08,TZ,1691497144
204,geraldton,-28.7667,114.6,16.23,88,75,3.09,AU,1691497144
205,harper,4.375,-7.7169,25.63,82,87,5.39,LR,1691497075
206,tsiombe,-25.3,45.4833,28.21,37,9,5.05,MG,1691497145
207,edson,53.5835,-116.4356,11.08,100,100,2.06,CA,1691497145
208,lata,40.1629,-8.3327,39.5,16,0,3.56,PT,1691497146
209,mamuju,-2.6748,118.8885,26.28,85,18,0.92,ID,1691497146
210,zouerate,22.7187,-12.4521,33.94,23,2,5.04,MR,1691497146
211,baiti,13.745,-14.7482,30.51,62,35,2.85,SN,1691497146
212,weno,7.4515,151.8468,26.97,89,100,2.57,FM,1691497146
213,crucecita,-28.95,-58.9833,9.6,73,35,5.36,AR,1691497146
214,kone,-21.0595,164.8658,16.59,85,28,2.69,NC,1691497147
215,grand falls-windsor,48.9332,-55.6649,13.61,89,100,3.55,CA,1691497147
216,nemuro,43.3236,145.575,16.85,100,100,1.12,JP,1691497147
217,lanzhou,36.0564,103.7922,29.52,51,15,4.03,CN,1691497147
218,badger,64.8,-147.5333,14.95,91,75,3.09,US,1691497147
219,hermanus,-34.4187,19.2345,16.56,73,95,4.39,ZA,1691497148
220,west end,26.6833,-78.9667,29.99,77,25,5.91,BS,1691497148
221,es castell,39.8795,4.2854,27.38,54,40,4.12,ES,1691497148
222,newnham,-41.3833,147.1333,6.48,81,12,3.6,AU,1691497148
223,minas de marcona,-15.2119,-75.1103,12.36,84,48,2.53,PE,1691497148
224,kailua-kona,19.6406,-155.9956,26.98,79,0,4.12,US,1691497149
225,jianshui,23.6363,102.8264,21.88,92,81,1.26,CN,1691497149
226,bayanhongor,46.7167,100.1167,20.04,36,90,1.9,MN,1691497149
227,kidal,18.4411,1.4078,38.32,23,16,6.63,ML,1691497149
228,cold lake,54.4502,-110.2017,4.97,93,40,0.0,CA,1691497150
229,aasiaat,68.7098,-52.8699,3.46,76,16,2.06,GL,1691497150
230,fuxin,42.0156,121.6589,24.56,68,29,1.77,CN,1691497150
231,mana,5.6592,-53.7767,25.74,84,70,3.15,GF,1691497150
232,phan rang-thap cham,11.5667,108.9833,29.68,63,67,3.64,VN,1691497150
233,urangan,-25.3,152.9,17.55,74,7,6.38,AU,1691497150
234,nikolayevsk-on-amure,53.1406,140.73,16.95,74,94,1.65,RU,1691497150
235,pocone,-16.2567,-56.6228,28.38,29,0,1.58,BR,1691497151
236,kodiak,57.79,-152.4072,11.73,100,100,2.57,US,1691497151
237,colby,39.3958,-101.0524,15.58,94,0,3.13,US,1691496879
238,bilibino,68.0546,166.4372,6.23,51,80,2.4,RU,1691497151
239,solnechnyy,50.7214,136.6319,17.69,49,100,1.46,RU,1691497151
240,pyhajarvi,67.0701,27.2176,27.21,55,3,5.86,FI,1691497151
241,san patricio,28.017,-97.5169,28.81,90,2,3.63,US,1691497152
242,qarazhal,48.0078,70.7903,28.69,34,76,2.24,KZ,1691497152
243,sao gabriel da cachoeira,-0.1303,-67.0892,25.89,94,0,2.06,BR,1691496933
244,szecseny,48.0806,19.5202,20.72,45,74,5.13,HU,1691497152
245,ciudad lazaro cardenas,17.9583,-102.2,27.07,85,41,2.03,MX,1691497115
246,rakops,-21.0167,24.3333,26.01,19,0,3.56,BW,1691497153
247,enugu,6.4402,7.4943,29.66,66,75,4.63,NG,1691496950
248,pemangkat,1.1667,108.9667,27.27,77,38,1.47,ID,1691497153
249,tommot,58.9564,126.2925,16.98,71,8,2.51,RU,1691497153
250,pelabuhanratu,-6.9875,106.5514,25.75,83,28,2.21,ID,1691497153
251,leua,48.2156,18.6071,19.16,45,90,5.32,SK,1691497153
252,limuru,-1.1,36.65,19.55,39,79,2.3,KE,1691497154
253,virginia beach,36.8529,-75.978,25.57,86,0,4.63,US,1691497154
254,halikko,60.4,23.0833,18.81,89,97,8.38,FI,1691497154
255,mola di bari,41.0609,17.0873,27.4,48,53,7.54,IT,1691497154
256,sejenane,37.0572,9.2381,25.53,34,0,5.07,TN,1691497154
257,usogorsk,63.4106,48.6872,24.69,40,20,2.99,RU,1691497154
258,puerto baquerizo moreno,-0.9,-89.6,23.6,75,100,4.72,EC,1691497155
259,fort bragg,35.139,-79.006,24.55,89,100,6.17,US,1691497155
260,okhotsk,59.3833,143.3,10.88,78,30,2.24,RU,1691497155
261,bazarnyy syzgan,53.7512,46.7535,29.44,34,0,3.71,RU,1691497155
262,slave lake,55.2834,-114.769,11.99,82,100,3.09,CA,1691496945
263,kirensk,57.7853,108.1119,23.41,62,27,1.78,RU,1691497155
